Name,Category,Status,Matched Keywords
Data collection practices,Transparency,partial,collect personal data
Data use purposes,Transparency,found,use your information; analytics; purpose
Legal basis for processing,Transparency,missing,
Data sharing and disclosure,Transparency,found,share your data; third parties
Right to access,User rights,partial,right to access
Right to rectification,User rights,missing,
Right to erasure,User rights,missing,
Right to restrict processing,User rights,missing,
Right to data portability,User rights,missing,
Right to object,User rights,missing,
Automated decision-making,User rights,missing,
Right to lodge a complaint,User rights,missing,
Data retention period,Data handling,found,data retention; retention period
Data security measures,Data handling,found,protect your data; encryption
International transfers,Data handling,missing,
Children's privacy,Accountability,missing,
Cookies and tracking,Accountability,missing,
Controller and DPO contact,Accountability,found,contact; data protection officer; DPO
Privacy policy updates,Transparency,missing,
